longitude,latitude,start_date,end_date,label,cube,time_series
-57.56587819,-18.86776292,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.56506971,-18.53736256,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.56102729,-18.95966057,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.55914083,-17.97492736,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.55617639,-17.59547898,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.55455942,-18.51418602,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.55375094,-18.41905444,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.55105599,-17.43755516,2018-01-01,2018-12-19,"RIO, LAGO E OCEANO",pantanal,
-57.55024751,-18.56916292,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.54863054,-18.08838458,2018-01-01,2018-12-19,"RIO, LAGO E OCEANO",pantanal,
-57.54593559,-18.68342862,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.54458812,-17.1416501,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.54458812,-17.80703223,2018-01-01,2018-12-19,"RIO, LAGO E OCEANO",pantanal,
-57.54297115,-18.48939252,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.53946772,-17.82266292,2018-01-01,2018-12-19,"RIO, LAGO E OCEANO",pantanal,
-57.53407783,-17.77334541,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.53219137,-17.48471671,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.52814895,-18.48481111,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.52734047,-17.47770985,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.52599299,-18.07868277,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.52599299,-18.90064126,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.5257235,-18.90064126,2018-01-01,2018-12-19,CAMPO ALAGADO E ÁREA PANTANOSA,pantanal,
-57.52518451,-18.09188801,2018-01-01,2018-12-19,FORMAÇÃO FLORESTAL,pantanal,
-57.52437603,-17.01849108,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.5206031,-17.19312357,2018-01-01,2018-12-19,FORMAÇÃO CAMPESTRE,pantanal,
-57.51952512,-17.72860931,2018-01-01,2018-12-19,"RIO, LAGO E OCEANO",pantanal,
